"lat","lng","name","phone","address","city","state","country"
-37.863216,145.077914,"Milano Espresso Bar",,"170 High St.","Ashburton","VIC","Australia"
-33.88131040036389,151.2095526214001,"Single Origin Roasters","+61292110665","60-64 Reservoir St.","Surry Hills","NSW","Australia"
-37.84372457933325,145.0987194708163,"foodrinkery","+61398082468","22 Banksia Street","Burwood","VIC","Australia"
-33.868642577668574,151.20604087706585,"Mecca Espresso","+61292998828","67 King St.","Sydney","NSW","Australia"
-33.87052244872696,151.20826721191406,"Max Brenner Chocolate Bar","+61292380022","Level 6, Westfield Sydney","Sydney","NSW","Australia"
-37.850158,145.093933,"Harvest Blend","+61398899600",,,"VIC","Australia"
-33.89296377533514,151.18325342897722,"Campos Coffee","+61296900294","193 Missenden Rd.","Newtown","NSW","Australia"
-33.873428680964125,151.20970219373703,"Starbucks","+61292680184","201 Elizabeth St","Sydney","NSW","Australia"
-33.86945505713953,151.20774266889012,"Gumption by Coffee Alchemy","+61292324199","Shop 11, 412-414 George St.","Sydney","NSW","Australia"
-33.86568216657332,151.2047261273451,"Nook Urban Fresh Bar","+61292995050","83 Clarence St.","Sydney","NSW","Australia"